Week,# HHs,Inc_trl
1,8,8.0
2,14,6.0
3,16,2.0
4,32,16.0
5,40,8.0
6,47,7.0
7,50,3.0
8,52,2.0
9,57,5.0
10,60,3.0
11,65,5.0
12,67,2.0
13,68,1.0
14,72,4.0
15,75,3.0
16,81,6.0
17,90,9.0
18,94,4.0
19,96,2.0
20,96,0.0
21,96,0.0
22,97,1.0
23,97,0.0
24,101,4.0
25,101,0.0
26,101,0.0
27,105,4.0
28,106,1.0
29,106,0.0
30,118,12.0
31,119,1.0
32,119,0.0
33,120,1.0
34,123,3.0
35,125,2.0
36,125,0.0
37,126,1.0
38,127,1.0
39,127,0.0
40,127,0.0
41,127,0.0
42,128,1.0
43,129,1.0
44,129,0.0
45,129,0.0
46,130,1.0
47,132,2.0
48,133,1.0
49,137,4.0
50,137,0.0
51,137,0.0
52,139,2.0
