driver_id,avg_distance,avg_duration,avg_prime_time,avg_trip_revenue,onboarding_cohort,total_week_day_rides,total_week_end_rides,weighted_weekday_rides,weighted_weekend,early_morning_prop,mid_day_prop,early_evening_prop,party_time_prop,late_night_prop,observed_churn
011e5c5dfc5c2c92501b8b24d47509bc,4.928076650010996,14.316176470588237,0.19852941176470587,14.189054559680287,1,18.0,16.0,3.6,8.0,0.0,0.0,0.0,1.0,0.0,True
0213f8b59219e32142711992ca4ec01f,4.0386952696253875,12.491527777777785,0.103125,12.254821476659641,1,199.0,41.0,39.8,20.5,0.0,0.0,0.0,1.0,0.0,True
02e440f6c209206375833cef02e0cbae,5.053911496148208,14.88720238095238,0.14285714285714285,14.005903172348484,0,52.0,4.0,10.4,2.0,0.0,0.0,0.0,1.0,0.0,True
039c5afbca8e03e4c18d9c8ea94140ac,4.015235236743733,13.346491228070173,0.11842105263157894,12.382796201041183,2,29.0,9.0,5.8,4.5,0.0,0.0,0.0,1.0,0.0,True
0430df9a3eb327122c57ee3a64765000,3.6740378052637706,13.813565891472866,0.0755813953488372,11.699833189233017,1,37.0,6.0,7.4,3.0,0.0,0.0,0.0,1.0,0.0,True
04c4ffa5a385eab86fa7e422263d2999,5.266889094958171,17.376969696969695,0.2636363636363636,16.10474041913407,1,36.0,19.0,7.2,9.5,0.0,0.0,0.0,1.0,0.0,True
052bba06c5fc0bdea4bc2f9cb92b37c7,4.014657081217122,13.989880952380954,0.15178571428571427,13.153613441031167,2,33.0,23.0,6.6,11.5,0.0,0.0,0.0,1.0,0.0,True
059ed570673c2d15ca11dd6b3a25513b,6.09269988268512,16.944791666666667,0.1015625,15.771914720609768,6,32.0,,6.4,,0.0,0.0,0.0,1.0,0.0,True
05bad02e08c7f849e91dc1259da8b4ec,5.536700992291971,15.39782608695652,0.16847826086956522,15.443645113623399,6,26.0,20.0,5.2,10.0,0.0,0.0,0.0,1.0,0.0,True
06b1ba06e5505f8218ec8686498f990a,3.1350577400707142,13.29772727272727,0.2727272727272727,12.68269627387421,6,42.0,2.0,8.4,1.0,0.0,0.0,0.0,1.0,0.0,True
07e6a2fdaadc640cca9a7bec41351065,2.996110668242916,11.53560606060606,0.17045454545454544,11.494860374164876,6,11.0,11.0,2.2,5.5,0.0,0.0,0.0,1.0,0.0,True
0822973f3e812a68a867962dbbd37f5d,3.104491298593988,11.79814814814815,0.1597222222222222,11.088458010841686,5,25.0,11.0,5.0,5.5,0.0,0.0,0.0,1.0,0.0,True
0abc4faab8bbdf4d62412655fe0a2398,3.478841176226489,11.366666666666667,0.23369565217391305,12.557464424554084,5,37.0,9.0,7.4,4.5,0.0,0.0,0.0,1.0,0.0,True
0b10af0ede0648dbe6ae05813c5cbf1b,3.7923428493388096,10.561842105263159,0.17105263157894737,11.843777077001889,6,24.0,14.0,4.8,7.0,0.0,0.0,0.0,1.0,0.0,True
0eff1404b137a5562642f0f706e59f25,3.2648085182534006,11.054444444444446,0.06111111111111111,10.28941442652686,0,34.0,11.0,6.8,5.5,0.0,0.0,0.0,1.0,0.0,True
10ab4d373b29fb6ee31ae2b7b39fc574,5.961862411019645,15.401041666666666,0.140625,16.37759414860962,6,7.0,25.0,1.4,12.5,0.0,0.0,0.0,1.0,0.0,True
10d2c35bb4b440aa1eaf06d477ff27a6,7.42049244909727,18.225416666666675,0.16875,18.391183454500712,6,38.0,2.0,7.6,1.0,0.0,0.0,0.0,1.0,0.0,True
1110d496149d3d8c50276765924df831,2.741534083807706,15.046428571428569,0.11607142857142858,11.291619614487113,0,28.0,,5.6,,0.0,0.0,0.0,1.0,0.0,True
117ea72f13b43f0f4055b0472dcb6b1b,5.182759003210721,15.540350877192981,0.013157894736842105,13.223652985250348,4,34.0,4.0,6.8,2.0,0.0,0.0,0.0,1.0,0.0,True
118be60e268514eb85f66ddb82bfa407,6.013534802904881,14.408974358974357,0.11538461538461539,15.032474414164868,6,32.0,7.0,6.4,3.5,0.0,0.0,0.0,1.0,0.0,True
122972e7c73c944e744e6eca819d93e7,4.5758395967549506,13.475833333333332,0.1125,12.75334564940746,3,38.0,2.0,7.6,1.0,0.0,0.0,0.0,1.0,0.0,True
133c19880625cbe91986ee3c402866cd,3.6756908283077805,17.243137254901956,0.18137254901960784,13.69077851382242,4,48.0,3.0,9.6,1.5,0.0,0.0,0.0,1.0,0.0,True
