dt,mean_active_mins,num_active_users,mean_total_active_mins
2018-08-10,92657.0,4570,20.275054704595185
2018-08-11,84889.0,4490,18.906236080178175
2018-08-12,91119.0,4520,20.159070796460178
2018-08-13,85985.0,4382,19.622318575992697
2018-08-14,86048.0,4440,19.38018018018018
2018-08-15,82406.0,4437,18.57245886860491
2018-08-16,84547.0,4363,19.378180151272062
2018-08-17,88870.0,4396,20.216105550500455
2018-08-18,80176.0,4368,18.355311355311354
2018-08-19,86120.0,4462,19.30076199013895
2018-08-20,87734.0,4480,19.583482142857143
2018-08-21,91425.0,4502,20.307641048422923
2018-08-22,90341.0,4526,19.960450729120637
2018-08-23,84488.0,4464,18.92652329749104
2018-08-24,91787.0,4501,20.392579426794047
2018-08-25,92636.0,4439,20.868664113539086
2018-08-26,89389.0,4504,19.84658081705151
2018-08-27,81703.0,4471,18.273987922165063
2018-08-28,88625.0,4460,19.871076233183857
2018-08-29,90700.0,4495,20.17797552836485
2018-08-30,86279.0,4497,19.185901712252612
2018-08-31,92698.0,4616,20.081889081455806
2018-09-01,91879.0,4540,20.237665198237885
2018-09-02,93692.0,4734,19.791297000422475
2018-09-03,97466.0,4723,20.636459877196696
2018-09-04,97954.0,4720,20.752966101694916
2018-09-05,89064.0,4614,19.30299089726918
2018-09-06,93040.0,4794,19.40759282436379
2018-09-07,86531.0,4805,18.008532778355878
2018-09-08,88467.0,4849,18.24438028459476
2018-09-09,94812.0,4943,19.181064131094477
2018-09-10,93132.0,4896,19.022058823529413
2018-09-11,95188.0,4969,19.15636949084323
2018-09-12,97561.0,4976,19.606310289389068
2018-09-13,94096.0,4878,19.289872898728987
2018-09-14,91618.0,4971,18.430496881915108
2018-09-15,93459.0,5056,18.484770569620252
2018-09-16,97913.0,5002,19.574770091963213
2018-09-17,95103.0,5058,18.802491103202847
2018-09-18,92557.0,5017,18.448674506677296
2018-09-19,93483.0,4966,18.82460732984293
2018-09-20,93322.0,4972,18.76950925181014
2018-09-21,92850.0,4995,18.58858858858859
2018-09-22,92540.0,4953,18.68362608520089
2018-09-23,94458.0,4923,19.187081048141376
2018-09-24,93827.0,4999,18.769153830766154
2018-09-25,95627.0,4897,19.527670002042065
2018-09-26,94668.0,4949,19.128712871287128
2018-09-27,97638.0,4979,19.609961839726854
2018-09-28,93414.0,4970,18.795573440643864
2018-09-29,90961.0,4890,18.601431492842536
2018-09-30,89656.0,4951,18.10866491617855
2018-10-01,95199.0,5003,19.02838297021787
2018-10-02,89674.0,4941,18.14895770087027
2018-10-03,97729.0,4940,19.7831983805668
2018-10-04,96577.0,4905,19.689500509683995
2018-10-05,93802.0,5084,18.450432730133752
2018-10-06,95643.0,4974,19.228588661037396
2018-10-07,93098.0,5070,18.36252465483235
2018-10-08,98673.0,5017,19.667729718955552
2018-10-09,92993.0,5087,18.280518969923335
2018-10-10,99583.0,5176,19.23937403400309
2018-10-11,97378.0,5134,18.96727697701597
2018-10-12,97752.0,5052,19.34916864608076
2018-10-13,101741.0,5079,20.03169915337665
2018-10-14,96457.0,5118,18.846619773348966
2018-10-15,96088.0,5135,18.712366114897762
2018-10-16,96165.0,5102,18.848490787926302
2018-10-17,97209.0,5095,19.079293424926398
2018-10-18,100562.0,5105,19.698726738491676
2018-10-19,96939.0,5109,18.974163241338815
2018-10-20,96608.0,5074,19.039810800157667
2018-10-21,102050.0,5219,19.5535543207511
2018-10-22,100168.0,5148,19.457653457653457
2018-10-23,92892.0,5170,17.967504835589942
2018-10-24,101420.0,5118,19.816334505666276
2018-10-25,95188.0,5067,18.78586935070061
2018-10-26,96521.0,5164,18.691130906274207
2018-10-27,94292.0,5096,18.50313971742543
2018-10-28,98267.0,5190,18.933911368015416
2018-10-29,99433.0,5184,19.180748456790123
2018-10-30,93624.0,5119,18.289509669857395
2018-10-31,100469.0,5000,20.0938
