zip5,mean_age,median_home_value,standardized_income,household_count,homebuyers
1001,0.26240497550555564,-0.0025251887190560806,-0.0943432148926623,3785,20
1002,-0.3019849983614727,0.5719080775375923,0.5255805045629182,3498,13
1003,-5.119025711534096,0.048017387794468486,,13,0
1005,0.14343452067478316,0.10486919537128045,-0.0025443157896702807,333,1
1007,0.16806259152672387,0.31919061310282115,0.21471851789047688,3536,14
1008,0.2986852678251082,0.06867702676640959,0.06109408812648228,200,0
1009,-0.2985873683155041,-0.4425952008501394,,146,0
1010,0.5573386891277798,0.22017188215968095,0.28663018954292796,793,2
1011,0.19535944120599202,-0.19700712169821152,-0.17711900308415202,130,0
1012,-0.13654399413697732,0.12885526989292864,0.06772841593799628,46,0
1013,-0.1543249265294618,-0.14896166278054146,-0.4753373337705109,4501,22
1020,0.2361063921308945,-0.08895753060565996,-0.32465584776869916,6459,17
1022,1.533595582544233,-0.4192414239949645,-0.33570269514026885,597,5
1026,0.8928363440854705,0.1305688882064141,-0.1690437902044519,150,0
1027,0.17889750089553277,0.2571979505855528,-0.08136692128781688,4101,17
1028,0.7635547519223528,0.24284754267689906,0.5580363970553632,3269,18
1029,-1.382855331858966,0.30307160447490167,,6,0
1030,0.30345678859881314,0.15141180186428949,0.02104793729941511,2354,15
1031,-0.6697570544248016,0.08131839822872618,-0.38340298111339727,124,1
1032,1.096257912037252,0.20879510603031085,-0.18788423810408517,45,0
1033,0.31657536389786184,0.184813613375811,0.075302169721688,1554,16
1034,0.20548847579470422,0.233230203532498,0.14528485851606418,232,2
1035,0.5587972818112884,0.5587581188218081,0.14031532637652672,1237,8
1036,0.6466028298365225,0.25789897625925134,0.48194391356887567,1284,2
1037,-0.43078200257974053,0.31364197198616095,,5,0
1038,0.7722146416962088,0.45042903383320676,0.2015259228033264,561,1
1039,0.42262029764623027,0.45950113078695337,0.28204070507915596,315,0
1040,-0.12297556542967837,-0.07647194262638751,-0.4126830563166839,6889,44
1050,0.19765649905697433,-0.011899688904594224,-0.09776272728685362,582,7
1053,1.1851983779036772,0.29948400249773827,0.20023400059074495,319,3
1054,0.7838984417934304,0.4873359737132213,0.5639607967529685,406,0
1056,0.45820048584965517,0.0475592010796328,-0.026459610851203862,4248,28
1057,0.30087313772271046,0.13101332931980472,0.039553789280110156,1956,11
1060,0.1062456044290212,0.4038406086687142,0.1833736953129287,2819,17
1062,0.5121757576159521,0.3269981147236212,0.3400536221355343,2367,10
1063,-4.561103557742451,1.934647004801891,,165,0
1068,0.44868173624140956,0.37548343288753355,0.13786624019725258,104,0
1069,0.07744658265437619,-0.06549837080607282,-0.1157973676750093,1597,9
1070,0.701469529897353,-0.022199726254100455,-0.2951147612665517,55,0
1071,0.1826844741554416,-0.004023459276568775,-0.06356205290522897,145,0
1072,0.191086147186637,0.17084350044047095,0.04710577154686577,326,1
1073,0.5083812586332895,0.4546810065468819,0.3992002430710208,1498,4
1074,-0.5199001944024123,,,16,0
1075,0.6636281366783756,0.12417260166730792,0.17817271707765006,3513,25
1077,0.24204527185521116,0.18954668214006365,0.25489122095185773,2295,9
1079,-0.057536235545686466,,,142,1
1080,-0.3069716807274288,-0.15717236871039694,-0.45413148579289453,467,2
1081,0.6151695986808003,-0.037223668633562614,-0.21166427350260372,453,3
1082,0.12561589761965655,-0.07490494406164946,-0.21442296401892255,2026,7
1083,0.005754890792201835,0.00800852385501635,,204,0
1084,-1.0348201636075767,0.29333513678464335,,12,1
1085,0.23234103554697866,0.08718777004577132,0.05184968389569493,7871,46
1088,0.37087074036357653,0.4305987128151183,0.05120267614557723,166,1
1089,-0.02628091233213905,0.05107807504957087,-0.05383811792627668,6023,34
1092,0.03213654994224995,-0.0551754241208248,,166,0
1093,-0.7080237972921151,0.4056137912551283,,5,0
1094,3.18648057382254,0.3390438434566514,,5,0
1095,0.591326843621886,0.3559646788355333,0.7978828563985053,2766,3
1096,0.5137383541928543,0.24643972652121085,0.21383469841503694,433,3
1097,-2.6215221635573625,-0.20570350554579286,,5,0
1098,1.7639831762412723,0.16248617476186802,0.15192735086118195,81,0
1103,-1.2605353190710553,-0.7202563500405654,-0.6151794378481035,698,1
1104,-0.3365040653745028,-0.2812951497593844,-0.6288511442405065,5135,24
1105,-1.0195421548156112,-0.38738370171243924,-0.8920534486826902,1591,2
1106,0.7480785008488391,0.6202788490227957,2.2376070626973976,2632,15
1107,-0.47704824774198645,-0.2518658170654883,-0.6983036726556212,1940,13
1108,-0.9782994780041381,-0.23699765816907023,-0.5638244370516449,5142,27
1109,-0.5734454873852599,-0.315095583712813,-0.707270799350876,5467,18
1118,-0.15855976559715507,-0.16795350211048066,-0.21023176624823833,3410,17
1119,-0.06040644768847879,-0.21907797575184654,-0.4119746319632932,2954,11
1128,0.22020176407317726,-0.09818082917530233,-0.10030830153451209,583,2
1129,0.033418785003208024,-0.14255621250713857,-0.25755732108882623,1703,11
1151,-0.9647110962653686,-0.269208184222019,-0.6552453260535115,1845,8
1201,0.32275771734405606,-0.18656046459995787,-0.20037992523327267,10147,44
1220,0.3661205766745952,-0.3089833729369049,-0.3482842401965716,1766,13
1222,-0.36008245336089756,0.09488072498786249,-0.4109206327911355,108,0
1223,0.6058525865266395,0.076090487812451,-0.042995763577766216,16,0
1224,0.2621952091042371,-0.16996035992146097,-0.45481815630043754,46,0
1225,0.706383475875711,-0.02518710363482913,-0.10931257874748876,423,2
1226,0.3180953447366388,-0.09546378195632671,0.046386840504391784,1097,15
1230,1.039196734552636,0.7798790274015104,0.31054355575610004,937,4
1235,0.33272137151565695,-0.008811510446601698,-0.09133883857414048,218,0
1236,0.5125295810561861,0.7018727392007348,-0.056567265082904196,159,2
1237,0.3154988395410061,0.061286475056109964,0.004734258909864716,311,0
1238,0.6761334293605958,0.15625483544010269,-0.15748139497095678,870,0
1240,1.9217645604053568,0.5986753454182931,0.6086349368540932,918,1
1242,0.1248244934682351,0.00444383121359471,,41,0
1244,0.6752559976994286,0.40012013254424844,,10,0
1245,0.7606738259111107,1.115079264241002,0.2152796647682979,11,0
1247,0.5788844755988887,-0.34626602592308475,-0.438910308686038,2977,12
1253,-0.42004333560404916,0.31109445385167456,0.13137705755000098,5,0
1254,0.05939523121144956,0.7395219415587831,1.998168125154373,11,0
1255,0.6298911214064793,0.27860443390267603,-0.09245191366668244,90,1
1256,0.3554469156375321,-0.19510564683164344,-0.23340894118355426,53,0
1257,0.5716839111032368,0.42566404189633794,0.28691147522486504,119,0
1258,1.2559670758403103,1.1574157166918193,0.6200825875762258,36,0
1259,-1.1907642301875692,0.3739805804628725,0.25254921739462777,6,0
1262,1.5837910089437952,1.095913313959425,,132,1
1264,0.8033487425811645,0.957902893583768,,15,0
1266,0.6591332787881918,0.8509666962082671,0.553137937050768,90,0
1267,0.6890477995766108,0.3706220718431269,0.8318107534817212,781,0
1301,0.3143559415585569,-0.11768125575870915,-0.2605395260820419,3658,15
1330,0.7211619076762107,0.18968413815451438,0.14284918101124353,156,0
1331,0.06812080256806598,-0.1875043292325194,-0.31914056247803363,1751,1
1337,0.4986565808757323,0.03568300143109181,-0.040920936320287066,417,0
1338,1.3125900586832284,0.02258802512108789,-0.2256569582770461,23,0
1339,0.6076736222971103,-0.0852141451454524,-0.2532686984366525,146,0
1340,0.42936325988599244,-0.14159402040598362,-0.13739801206036528,336,1
1341,0.6508792757046244,0.3103842644436792,0.5930985161241761,161,0
1342,0.28190895937570654,0.31168551471381256,0.4135308049418727,241,0
1343,0.20486029620543772,-0.18348144987626205,,18,0
1344,-0.1328270130012425,-0.1276697261421271,-0.259200163869781,345,0
1346,-0.06200089258033783,-0.1241233609692989,-0.253378163219557,10,0
1347,-0.21661061913033938,-0.4074660254236874,,36,0
1349,-0.38422120406043464,-0.1845398611875325,-0.3699378063004207,139,0
1350,0.7949472473052406,-0.5815540677255064,,13,0
1351,0.5435924535984807,0.10102500883380905,-0.013696031497762677,610,2
1354,1.0681646962142985,-0.014543426249196134,-0.045814461428075555,259,0
1355,0.8769755235852031,0.064150142023833,-0.07879957895926751,147,0
1360,0.5582263081119716,0.026056498552394038,0.0005995072580387633,587,3
1364,0.25472510144711874,-0.27264458458328666,-0.34844081413711603,1227,3
1366,0.23825462107704926,0.22981671250697214,0.09520872836097347,181,2
1367,1.31309103945047,-0.06606194046532071,-0.31074784186709936,74,0
1368,0.4671162334554714,0.02491561363245318,-0.05849968766737976,131,0
1370,0.9339372320057421,0.16006236704038723,-0.13511373184897874,545,4
1373,0.4564389885523967,0.2552277477117593,0.2168335579180012,871,3
1375,-1.112937697992137,0.38708472050717313,-0.05112674960238294,748,2
1376,0.3283904165417505,-0.14077386618642773,-0.4538190454916285,909,2
1378,0.8107540801815409,-0.17040938290199995,-0.2651043483333692,133,1
1379,0.5703350278748339,-0.16039342131569184,-0.29533103476963396,121,2
1420,-0.43744461898187176,0.020109234993826827,-0.35909885388181717,6544,29
1430,0.05173662596798669,0.16851591192910564,0.1594945123472544,1150,4
1431,-0.09272774271659594,0.2373813751689093,0.1075358671784871,305,0
1432,-0.27012657535237006,0.5894932836529859,0.07070608093413974,1694,16
1434,-0.015217959287252747,0.6147072985703937,0.20271589510868424,67,0
1436,0.11023398522187842,0.12248189268956423,-0.27661766899152773,548,7
1440,0.10172186596877486,-0.06811003508063623,-0.2937979905588048,3749,28
1450,-0.023229635321312798,1.254386353019644,1.80152725258328,1691,12
1451,0.47252315342909884,1.9004021297350715,2.475255838015064,853,5
1452,0.13588979452736083,0.28181174090652583,0.30824019813243003,863,8
1453,-0.14308713314647073,0.24602277661071037,-0.09917582972294062,8371,49
1460,0.15001131711135632,1.1953993953516977,0.9688684504556221,1963,12
1462,0.04213155332446243,0.49178496671427585,0.3682834549909245,2308,11
1463,0.0415128900887372,0.6701478910655119,0.37605314432779136,2657,12
1464,0.058307895047590534,0.5806044613851736,0.2255528179042532,1353,8
1468,-0.20529117234778543,0.03029014379747578,-0.015289479414907579,886,3
1469,-0.054114073282858326,0.3847433863943628,0.16412817894925436,1602,10
1470,-0.8959504666011319,0.7412722148094555,,5,0
1473,0.057950269441723636,0.4041246844319123,0.38498029705812326,1885,19
1474,0.06422007067429429,0.40805134457805414,0.2245320533857627,474,0
1475,-0.0991164658951662,0.01550445850972818,-0.18725649380354042,1662,7
1501,0.21133613107718519,0.2791863310305173,0.15634785554420996,3451,20
1503,0.3704265495519846,0.9408079472532485,0.9294142241424905,566,5
1504,-0.17940948854752772,0.355190343287461,0.014576758054976375,1860,12
1505,0.23016122834825276,0.7605160568325543,1.0737130841587899,938,4
1506,0.6402987517314729,0.13387699628752775,-0.050003552903221095,601,1
1507,-0.006917186841137544,0.4057100104652438,0.3103450659943872,2447,20
1508,1.3357205278574666,,,18,0
1510,-0.3581577084961115,0.30147253284012515,-0.11747513220768907,3178,17
1515,-0.1398226187101561,0.1602364779920248,0.060162812452865096,305,0
1516,-0.36941754068095806,0.5292417306520932,0.32965344676340674,1591,9
1518,-0.0004505297698384547,0.4514782814101805,0.610878895814588,660,1
1519,-0.20538884481300423,0.8389805317481656,1.1500461523933587,1514,7
1520,0.036993620626250306,0.5734613305008853,0.6535760601001577,3251,10
1521,0.023984003623692348,0.08558411654384641,0.11517856004951851,325,2
1522,-0.01761461733708859,0.5195235904304283,0.4020547359193297,570,2
1523,0.33409971880535905,0.605736002693911,0.6607383460315683,760,9
1524,0.08403524068726137,0.23511793279762103,0.05154618197443595,1288,11
1527,0.0786614295161972,0.4094900508626382,0.08436204582301732,2957,24
1529,-0.4572130067827811,0.33378844183748607,0.09089592527894007,509,4
1531,0.04294296119391981,0.3499349416682957,0.0669270060731582,40,0
1532,-0.057659134401484055,1.0207248740548889,1.0820024836351447,2967,14
1534,-0.030657825557789453,0.6497677459896205,0.4093916882858338,1080,6
1535,0.1930127974980719,0.07255328637391949,-0.11063646255909244,731,2
1536,-0.03710482401967816,0.590405075215509,0.8572741801819148,1592,8
1537,0.11701272649350083,0.05279627523020469,-0.09677380803272216,519,2
1540,-0.146825882651917,0.16359040474462203,-0.023975010938750457,2103,8
1541,0.52155734985918,0.7671689279319684,1.1292139323324306,731,3
1542,0.12407765878712347,0.29538323139995887,0.02081150157558018,433,1
1543,-0.19220728911243035,0.42520127331435387,0.4172818259686376,1740,11
1545,-0.1524041876380531,1.0046241928955628,1.1548550077092803,7111,33
1550,-0.3902666305014827,-0.022671658570381212,-0.4129800947920083,2925,4
1560,-0.48394602234354367,0.6918751050830201,0.4566079921145981,1063,3
1562,0.18794322911284111,0.16504285663065116,-0.0845522299147834,2149,14
1564,0.18226686962865363,0.6601914937521324,0.7667621780758022,1554,15
1566,0.4716353702160897,0.3833642443827074,0.5344313834771561,1461,5
1568,-0.00884871411951124,1.0901905618911274,1.0127091356460811,1585,13
1569,0.14371366071936376,0.48570941087555464,0.3027228082642483,2511,18
1570,0.00709768370996567,0.16598672126321265,-0.16352253061338998,3136,11
1571,0.0252859219696964,0.25808683281233397,0.010642460109969411,2069,9
1581,-0.2968715146866638,1.2732269907336873,1.2599697847369913,4254,28
1583,0.32385970010814935,0.41809021550010406,0.3643473396235841,1444,9
1585,0.6847626953698149,0.13652531549927802,0.0493034177758477,545,1
1588,0.0004621968388902272,0.3428697025255294,0.09271875741943969,2057,6
1590,0.09971469240559382,0.7514668692145494,1.036996465281185,1669,14
1602,0.15891263716941825,0.2002407600643286,-0.03574490990695379,4788,30
1603,-0.4588998550798263,0.028205394244973408,-0.48634962851975305,3417,16
1604,-0.46038554668265924,0.11707528945450314,-0.3351265398636501,6185,46
1605,-0.6138136893725907,0.15888940905040788,-0.4104304407318658,5104,17
1606,-0.18341621836600716,0.17011040169673383,-0.10431664354788923,4296,18
1607,-0.7579988087455476,0.05337817235804602,-0.47046928889929057,1617,8
1608,-2.1473007302010996,-0.639940800797018,-0.24189673249434135,946,10
1609,0.02380357238223185,0.4588688331204801,0.36701142036093387,2540,8
1610,-1.1980972148921354,-0.054579781391538414,-0.7394633722585664,2016,12
